Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
B.M.W.;"SERIE 5";530;AUTRES;"530d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;LUXE;17;210,000;;1925;0,11;AUTOMATIQUE;8;8,420;9,136;5,710;6,483;4,971;5,722;5,380;6,350;5,726;6,555;;;;;;;220,53;239,26;149,49;169,74;130,10;149,77;140,84;166,25;149,90;171,60;0,112;;0,052;0,073;;2000;2000;Malus;13932;72588
FIAT;PANDA;PANDA;STELLANTIS;"PANDA 1.0 BSG (70ch)";"ESS+ELEC HNR";BERLINE;999;INFERIEURE;4;51,500;1,370;1003;0,05;MECANIQUE;6;5,548;5,128;4,466;4,780;3,999;4,586;5,018;6,161;4,662;5,256;;;;;;;126,23;116,56;101,53;108,63;90,86;104,18;114,13;140,16;106,00;119,50;0,300;0,028;0,022;;;1078;1078;"Neutre 0";11900;15940
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1290;0,08;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1365;1365;Malus;150;35210
B.M.W.;"SERIE 4";440;AUTRES;"M440i xDrive Coupe";"ESS+ELEC HNR";COUPE;2998;"MOYENNE SUPERIEURE";26;275,000;;1740;0,16;AUTOMATIQUE;8;11,106;11,712;7,525;8,173;6,382;7,190;6,921;7,966;7,435;8,268;;;;;;;253,13;266,95;171,45;186,23;145,38;163,83;157,67;181,52;169,40;188,40;0,087;0,013;0,009;;;1815;1815;Malus;12093;70650
FIAT;500;500;STELLANTIS;"500 Hybrid 1.0 BSG (70ch)";"ESS+ELEC HNR";BERLINE;999;ECONOMIQUE;4;51,500;1,370;999;0,05;MECANIQUE;6;5,629;5,839;4,814;5,199;4,312;4,815;5,410;6,257;4,979;5,541;;;;;;;128,48;133,12;109,81;118,47;98,31;109,68;123,47;142,71;113,60;126,31;0,281;0,031;0,048;;;1074;1074;"Neutre 0";11900;18540
DS;"DS 9";9;STELLANTIS;"9 (224ch)";ESSENCE;BERLINE;1598;SUPERIEURE;13;165,000;;1540;0,11;AUTOMATIQUE;8;8,757;9,054;6,618;7,111;5,512;6,134;6,359;7,347;6,470;7,153;;;;;;;198,32;205,05;149,74;160,91;124,60;138,72;143,84;166,27;146,37;161,85;0,378;0,019;0,024;;0,001;1615;1615;Malus;1901;52700
B.M.W.;"SERIE X";X2;AUTRES;"X2 xDrive18d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";8;110,000;;1605;0,07;AUTOMATIQUE;8;6,616;7,414;5,340;6,214;4,834;5,464;5,396;6,111;5,374;6,106;;;;;;;173,39;194,31;139,91;162,84;126,65;143,15;141,38;160,12;140,80;160,00;0,071;;0,021;0,056;;1680;1680;Malus;818;47717
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI Cooper D Countryman (F60)";GAZOLE;"TS TERRAINS/CHEMINS";1995;INFERIEURE;8;110,000;;1510;0,07;AUTOMATIQUE;8;6,361;6,926;4,829;5,459;4,485;5,087;4,890;5,601;4,949;5,590;;;;;;;166,56;181,34;126,36;142,86;117,34;133,11;127,96;146,59;129,50;146,30;0,177;;0,015;0,060;;1585;1585;Malus;280;42567
B.M.W.;"SERIE 2";218;AUTRES;"218i Active Tourer";ESSENCE;"MONOSPACE COMPACT";1499;"MOYENNE INFERIEURE";7;100,000;;1470;0,07;AUTOMATIQUE;7;8,644;9,104;6,299;6,937;5,234;6,008;5,976;6,840;6,169;6,905;;;;;;;196,85;207,26;143,38;157,85;119,09;136,64;136,01;155,62;140,40;157,10;0,235;0,009;0,009;;;1545;1545;Malus;360;36688
B.M.W.;M8;M8;AUTRES;"M8 Competition CoupÃ©";ESSENCE;COUPE;4395;LUXE;57;460,000;;1900;0,24;AUTOMATIQUE;8;21,213;22,128;10,448;11,197;8,928;9,372;9,255;9,830;10,988;11,604;;;;;;;484,78;505,63;238,64;255,69;203,88;213,96;211,36;224,43;251,00;265,00;0,181;0,013;0,012;;;1975;1975;Malus;41750;177000
B.M.W.;"SERIE 2";235;AUTRES;"M235i xDrive Gran CoupÃ©";ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";19;225,000;;1570;0,14;AUTOMATIQUE;8;10,224;10,753;7,280;7,811;6,114;6,809;6,825;7,719;7,151;7,861;;;;;;;230,94;242,85;164,41;176,37;138,06;153,73;154,13;174,28;161,50;177,50;0,079;0,009;0,015;;0,002;1645;1645;Malus;3784;58750
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;1981;0,06;MECANIQUE;6;7,667;9,108;6,543;7,479;5,846;6,710;7,497;8,316;6,817;7,756;;;;;;;201,26;239,12;171,74;196,32;153,44;176,13;196,79;218,31;178,92;203,60;0,040;;0,038;0,045;;2056;2056;Malus;13048;42550
JEEP;RENEGADE;RENEGADE;STELLANTIS;"1.3 Turbo T4 (240ch) BVA6 4xe Trailhawk / Upland / S";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1332;INFERIEURE;10;132,000;44,000;1770;0,07;AUTOMATIQUE;6;;;;;;;;;1,889;2,125;159,100;167,500;47,500;44,500;54,500;51,200;;;;;;;;;43,20;48,42;0,625;0,045;0,015;;;1845;1845;"Bonus 1000";;46400
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive20i";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1998;SUPERIEURE;10;135,000;;1800;0,08;AUTOMATIQUE;8;9,723;10,613;7,321;8,280;6,389;7,507;7,510;8,926;7,421;8,582;;;;;;;221,13;241,35;166,44;188,24;145,21;170,63;170,73;202,94;168,70;195,10;0,157;0,013;0,017;;;1875;1875;Malus;12699;54800
B.M.W.;"SERIE 8";840;AUTRES;"840i xDrive Gran CoupÃ©";ESSENCE;BERLINE;2998;LUXE;22;245,000;;1875;0,13;AUTOMATIQUE;8;12,498;13,542;8,627;9,651;7,184;7,917;7,794;8,689;8,402;9,293;;;;;;;285,54;309,44;197,04;220,47;164,04;180,83;178,00;198,48;191,90;212,30;0,099;0,017;0,010;;;1950;1950;Malus;23466;70250
PORSCHE;"PANAMERA 4S E-HYBRID";PANAMERA;VGF;"PANAMERA 4S E-Hybrid";"ELEC+ESSENC HR";BERLINE;2894;LUXE;33;324,000;70,000;2230;0,15;AUTOMATIQUE;8;;;;;;;;;2,100;2,500;222,460;237,280;55,000;47,000;55,000;50,000;;;;;;;;;47,50;57,60;0,234;0,021;0,017;;;2305;2525;"Neutre 0";7250;137456
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;2035;0,05;MECANIQUE;6;7,667;9,108;6,543;7,479;5,846;6,710;7,497;8,316;6,817;7,756;;;;;;;201,26;239,12;171,74;196,32;153,44;176,13;196,79;218,31;178,92;203,60;0,040;;0,038;0,045;;2110;2110;Malus;15112;42550
RENAULT;ARKANA;ARKANA;RENAULT;"ARKANA (158ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;"MOYENNE INFERIEURE";8;116,000;;1347;0,09;AUTOMATIQUE;7;7,490;7,729;5,680;5,924;4,986;5,142;6,012;6,322;5,825;6,065;;;;;;;169,32;174,72;128,22;133,72;112,43;115,94;135,76;142,74;131,50;136,90;0,534;0,014;0,023;;;1422;1422;Malus;11905;36125
B.M.W.;"SERIE 5";520;AUTRES;"520d xDrive Touring";"GAZ+ELEC HNR";BREAK;1995;LUXE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,615;7,355;5,537;6,316;4,657;5,352;5,068;6,214;5,243;6,121;;;;;;;173,15;192,54;144,90;165,31;121,84;140,04;132,62;162,63;137,20;160,20;0,100;;0,019;0,048;;1915;1915;Malus;13066;63713
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;1981;0,06;MECANIQUE;6;7,667;9,108;6,543;7,479;5,846;6,710;7,497;8,316;6,817;7,756;;;;;;;201,26;239,12;171,74;196,32;153,44;176,13;196,79;218,31;178,92;203,60;0,040;;0,038;0,045;;2056;2056;Malus;13048;42550
B.M.W.;"SERIE 1";116;AUTRES;116i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";6;80,000;;1320;0,06;MECANIQUE;6;7,870;8,349;5,676;6,530;4,824;5,905;5,453;6,998;5,626;6,746;;;;;;;179,70;190,56;129,55;148,97;110,05;134,69;124,43;159,66;128,40;153,90;0,179;0,019;0,011;;;1395;1395;Malus;75;33960
MINI;MINI;CABRIO;B.M.W.;"MINI Cooper S Cabrio (F57)";ESSENCE;CABRIOLET;1998;INFERIEURE;9;131,000;;1305;0,10;MECANIQUE;6;8,644;9,095;5,961;6,599;5,380;6,090;5,971;7,059;6,143;6,937;;;;;;;196,46;206,62;135,36;149,79;122,14;138,21;135,59;160,27;139,50;157,50;0,252;0,016;0,013;;;1380;1380;Malus;983;37567
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (95ch)";GAZOLE;COMBISPACE;1461;INFERIEURE;5;70,000;;1577;0,04;MECANIQUE;6;5,601;6,395;5,099;5,601;4,494;5,084;5,766;6,957;5,216;6,028;;;;;;;146,88;167,77;133,68;146,90;117,78;133,31;151,22;182,55;136,76;158,13;0,164;0,045;0,035;0,078;;1652;1652;Malus;450;28050
RENAULT;CAPTUR;CAPTUR;RENAULT;"CAPTUR (158ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;INFERIEURE;8;116,000;;1321;0,09;AUTOMATIQUE;7;7,370;7,798;5,600;6,079;4,937;5,375;6,100;6,673;5,809;6,302;;;;;;;166,74;176,42;126,53;137,37;111,46;121,38;137,89;150,87;131,27;142,43;0,450;0,013;0,027;;;1396;1396;Malus;11908;30200
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 1.5 TSI (114ch) Boite DSG 7 vit 5PL";ESSENCE;COMBISPACE;1498;INFERIEURE;6;84,000;;1497;0,06;AUTOMATIQUE;7;8,475;9,175;6,316;7,389;5,323;6,331;6,394;7,983;6,325;7,512;;;;;;;192,40;208,23;143,29;167,61;120,72;143,55;145,06;181,12;143,50;170,40;0,212;0,028;0,029;;;1572;1572;Malus;1276;36003
MINI;MINI;MINI;B.M.W.;"MINI John Cooper Works Hatch 3P (F56)";ESSENCE;BERLINE;1998;INFERIEURE;13;170,000;;1275;0,13;AUTOMATIQUE;8;9,293;9,684;6,409;6,979;5,535;6,106;6,444;7,170;6,536;7,138;;;;;;;211,58;220,48;145,81;158,77;125,87;138,87;146,60;163,13;148,70;162,40;0,227;0,016;0,010;;;1350;1350;Malus;1504;40700
B.M.W.;"SERIE 1";128;AUTRES;128ti;ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";16;195,000;;1445;0,13;AUTOMATIQUE;8;9,781;10,255;6,790;7,378;5,811;6,505;6,663;7,647;6,841;7,587;;;;;;;223,51;234,30;155,12;168,52;132,74;148,54;152,22;174,67;156,30;173,30;0,102;0,009;0,016;;;1520;1520;Malus;1761;47600
FIAT;500;500;STELLANTIS;"500e cabriolet Ã©lectrique 23.8 kWh";ELECTRIC;BERLINE;0;ECONOMIQUE;3;;43,000;1206;0,00;"VARIATION ELECTRIQUE";0;;;;;;;;;;;;130,000;;189,600;;257,300;;;;;;;;;;;;;;;;1281;1281;"Bonus 6000";-6000;32267
FORD;"TOURNEO CONNECT";"TOURNEO CONNECT";FORD;"TOURNEO CONNECT 2.0 EcoBlue (122ch) BVA7";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1634;0,06;AUTOMATIQUE;7;6,541;7,104;4,749;5,409;4,182;4,966;4,977;6,111;4,894;5,747;;;;;;;171,53;186,30;124,51;141,83;109,63;130,20;130,48;160,25;128,30;150,70;0,023;;0,038;0,059;;1709;1709;Malus;280;34427
LAMBORGHIN;URUS;URUS;VGF;URUS;ESSENCE;"TS TERRAINS/CHEMINS";3996;LUXE;61;478,000;;2197;0,22;AUTOMATIQUE;8;;20,700;;12,900;;10,600;;11,300;;12,700;;;;;;;;531,00;;331,00;;273,00;;289,00;;325,00;;;;;;2272;2272;Malus;44720;205715
MINI;MINI;MINI;B.M.W.;"MINI One 102 Hatch 3P (F56)";ESSENCE;BERLINE;1499;INFERIEURE;5;75,000;;1180;0,06;AUTOMATIQUE;7;7,724;8,299;5,192;5,897;4,567;5,307;5,423;6,252;5,418;6,161;;;;;;;175,70;188,77;118,04;134,09;103,83;120,67;123,30;142,17;123,20;140,10;0,084;0,012;0,006;;;1255;1255;"Neutre 0";;27150
B.M.W.;"SERIE X";X2;AUTRES;"X2 xDrive20d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";10;140,000;;1605;0,09;AUTOMATIQUE;8;6,505;7,685;5,188;6,378;4,740;5,555;5,402;6,223;5,301;6,243;;;;;;;170,49;201,44;135,92;167,12;124,17;145,52;141,55;163,07;138,90;163,60;0,071;;0,020;0,056;;1680;1680;Malus;1276;50717
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (122ch) Boite DSG 7 vit 7PL";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1646;0,05;AUTOMATIQUE;7;6,541;7,104;4,749;5,409;4,182;4,966;4,977;6,111;4,894;5,747;;;;;;;171,53;186,30;124,51;141,83;109,63;130,20;130,48;160,25;128,30;150,70;0,023;;0,038;0,059;;1721;1721;Malus;330;41043
KIA;PICANTO;PICANTO;HYUNDAI;"PICANTO 1.0 essence T-GDi (100ch) ISG BVM5";ESSENCE;BERLINE;998;INFERIEURE;5;73,600;;959;0,08;MECANIQUE;5;6,382;6,857;4,635;5,026;4,178;4,550;5,448;5,960;5,015;5,455;;;;;;;145,14;155,95;105,33;114,24;94,93;103,40;123,86;135,51;114,00;124,00;0,116;0,019;0,026;;;1034;1034;"Neutre 0";;18773
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1290;0,08;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1365;1365;Malus;100;32798
B.M.W.;"SERIE 5";530;AUTRES;"530e xDrive Touring";"ELEC+ESSENC HR";BREAK;1998;LUXE;10;135,000;55,000;1960;0,07;AUTOMATIQUE;8;;;;;;;;;1,756;2,300;183,800;201,900;53,100;46,400;51,700;51,800;;;;;;;;;40,05;52,42;0,311;0,010;0,011;;;2035;2035;"Neutre 0";;70838
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive20i";ESSENCE;"TS TERRAINS/CHEMINS";1998;"MOYENNE SUPERIEURE";9;131,000;;1470;0,09;AUTOMATIQUE;7;9,111;9,800;6,440;7,150;5,323;6,276;6,423;7,637;6,445;7,406;;;;;;;207,59;223,19;146,67;162,75;121,21;142,83;146,29;173,86;146,80;168,60;0,159;0,021;0,013;;;1545;1545;Malus;898;46817
B.M.W.;"SERIE X";X2;AUTRES;"X2 xDrive20d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";10;140,000;;1605;0,09;AUTOMATIQUE;8;6,505;7,685;5,188;6,378;4,740;5,555;5,402;6,223;5,301;6,243;;;;;;;170,49;201,44;135,92;167,12;124,17;145,52;141,55;163,07;138,90;163,60;0,071;;0,020;0,056;;1680;1680;Malus;818;50717
CITROEN;"JUMPY SPACE TOURER";"SPACE TOURER";STELLANTIS;"e-SPACE TOURER XL (57Kw)";ELECTRIC;MINIBUS;0;"MOYENNE INFERIEURE";4;;57,000;2086;0,00;"VARIATION ELECTRIQUE";0;;;;;;;;;;;246,800;294,900;339,000;285,000;477,000;377,000;;;;;;;;;;;;;;;;2161;2161;"Bonus 2000";-6000;52450
KIA;PROCEED;PROCEED;HYUNDAI;"PROCEED 1.5 essence T-GDi (160ch) ISG BVM6";ESSENCE;BERLINE;1482;"MOYENNE INFERIEURE";8;117,500;;1323;0,09;MECANIQUE;6;6,768;7,469;5,390;6,183;4,773;5,536;5,753;6,456;5,512;6,252;;;;;;;153,36;169,40;122,02;140,13;107,98;125,41;130,28;146,35;124,80;141,70;0,354;0,027;0,025;;;1398;1398;Malus;125;32033
B.M.W.;"SERIE 4";440;AUTRES;"M440i xDrive Gran Coupe";"ESS+ELEC HNR";BERLINE;2998;"MOYENNE SUPERIEURE";26;275,000;;1825;0,15;AUTOMATIQUE;8;11,929;12,251;8,149;8,671;6,798;7,516;7,330;8,231;7,945;8,635;;;;;;;271,40;278,73;185,34;197,21;154,58;170,91;166,69;187,19;180,70;196,40;0,099;0,016;0,010;;;1900;1900;Malus;12956;71000
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;1988;0,06;AUTOMATIQUE;6;8,803;9,145;6,712;7,612;5,896;6,832;7,281;8,416;6,941;7,861;;;;;;;231,13;240,11;176,21;199,85;154,79;179,36;191,15;220,97;182,22;206,39;0,017;;0,033;0,040;;2063;2063;Malus;14642;45500
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (102ch) BVM6 5PL";GAZOLE;COMBISPACE;1968;INFERIEURE;5;75,000;;1535;0,05;MECANIQUE;6;5,809;6,532;4,342;5,282;3,905;4,751;4,892;5,994;4,598;5,538;;;;;;;152,14;171,30;113,69;138,49;102,25;124,57;128,11;157,18;120,40;145,20;0,023;;0,041;0,062;;1610;1610;Malus;75;32660
SKODA;OCTAVIA;OCTAVIA;VGF;"OCTAVIA Berline 1.0 TSI (110ch) DSG7 mHEV famille A";"ESS+ELEC HNR";BERLINE;999;"MOYENNE SUPERIEURE";6;81,000;;1266;0,06;AUTOMATIQUE;7;6,192;6,658;4,595;5,298;4,051;4,788;4,734;5,758;4,689;5,485;;;;;;;140,82;151,41;104,45;120,45;92,06;108,82;107,62;130,91;106,60;124,70;0,103;0,019;0,035;;;1341;1341;"Neutre 0";11900;30457
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive18d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;8;110,000;;1810;0,06;AUTOMATIQUE;8;6,508;7,213;5,161;6,336;4,920;5,774;5,949;7,126;5,546;6,560;;;;;;;170,46;188,94;135,11;165,91;128,78;151,17;155,79;186,67;145,20;171,80;0,159;;0,023;0,061;;1885;1885;Malus;12771;55100
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.0 Ecoboost Hybrid (125ch) S&S (mHEV) Powershift";"ESS+ELEC HNR";BERLINE;999;INFERIEURE;6;91,900;7,300;1136;0,08;MECANIQUE;6;6,182;7,283;4,527;5,481;4,263;5,301;5,226;6,555;4,914;6,046;;;;;;;139,62;164,41;102,14;123,58;96,15;119,50;117,98;147,92;110,90;136,39;0,309;0,034;0,014;;0,001;1211;1323;"Neutre 0";11900;24190
B.M.W.;"SERIE 2";218;AUTRES;"218i Gran CoupÃ©";ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1350;0,07;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1425;1425;Malus;125;38363
KIA;SPORTAGE;SPORTAGE;HYUNDAI;"SPORTAGE 1.6 essence T-GDi (150ch) MHEV iBVM6";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";8;110,100;7,940;1486;0,07;MECANIQUE;6;8,042;8,171;6,309;6,569;5,507;5,828;6,802;7,171;6,467;6,768;;;;;;;182,63;185,70;143,20;149,25;124,94;132,39;154,41;162,96;146,80;153,77;0,193;0,023;0,027;;;1561;1561;Malus;11923;34078
B.M.W.;"SERIE 5";530;AUTRES;"530d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;LUXE;17;210,000;;1925;0,11;AUTOMATIQUE;8;8,420;9,136;5,710;6,483;4,971;5,722;5,380;6,350;5,726;6,555;;;;;;;220,53;239,26;149,49;169,74;130,10;149,77;140,84;166,25;149,90;171,60;0,112;;0,052;0,073;;2000;2000;Malus;13929;72588
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive16d";GAZOLE;"TS TERRAINS/CHEMINS";1496;"MOYENNE SUPERIEURE";6;85,000;;1475;0,06;MECANIQUE;6;5,809;6,460;5,110;5,820;4,483;5,231;5,168;5,900;5,031;5,753;;;;;;;152,14;169,27;133,79;152,47;117,33;137,03;135,30;154,58;131,70;150,70;0,124;;0,020;0,049;;1550;1550;Malus;170;40617
RENAULT;CAPTUR;CAPTUR;RENAULT;"CAPTUR (158ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;INFERIEURE;8;116,000;;1298;0,09;AUTOMATIQUE;7;7,370;7,798;5,600;6,079;4,937;5,375;6,100;6,673;5,809;6,302;;;;;;;166,74;176,42;126,53;137,37;111,46;121,38;137,89;150,87;131,27;142,43;0,450;0,013;0,027;;;1373;1373;Malus;11906;30200
HYUNDAI;"SANTA FE";"SANTA FE";HYUNDAI;"SANTA FE 1.6 T-GDi Hybrid (230ch) BVA6 Creative";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";10;132,200;14,700;1780;0,07;AUTOMATIQUE;6;6,720;6,851;5,421;5,834;5,331;5,894;7,846;8,429;6,426;6,908;;;;;;;152,67;155,70;123,13;132,56;121,07;133,92;178,31;191,60;146,00;157,00;0,125;0,013;0,010;;;1855;1855;Malus;12474;49683
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (170ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";9;125,000;;2245;0,06;AUTOMATIQUE;6;8,325;9,389;6,661;7,542;5,956;6,832;7,438;8,364;6,941;7,861;;;;;;;218,57;246,52;174,86;198,02;156,35;179,37;195,27;219,61;182,22;206,39;0,016;;0,030;0,038;;2320;2320;Malus;20081;47700
HYUNDAI;TUCSON;TUCSON;HYUNDAI;"TUCSON T-GDi 150 iBVM Hybrid 48V Intuitive";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";8;110,100;7,940;1463;0,08;MECANIQUE;6;8,042;8,171;6,309;6,569;5,507;5,828;6,802;7,171;6,467;6,768;;;;;;;182,63;185,70;143,20;149,25;124,94;132,39;154,41;162,96;146,80;153,77;0,193;0,023;0,027;;;1538;1538;Malus;11921;32400
VOLKSWAGEN;T-ROC;T-ROC;VGF;"T-ROC 1.5 TSI (150ch) Traction SUV BVM6 pn de 16'' Ã  19''";ESSENCE;"TS TERRAINS/CHEMINS";1498;INFERIEURE;8;110,000;;1270;0,09;MECANIQUE;6;7,523;8,061;5,533;6,197;4,819;5,522;5,580;6,643;5,594;6,395;;;;;;;169,78;181,95;124,81;139,81;108,67;124,56;125,87;149,90;126,20;144,30;0,115;0,013;0,018;;;1345;1345;Malus;240;34790
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI John Cooper Works ALL4 Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1998;INFERIEURE;19;225,000;;1605;0,14;AUTOMATIQUE;8;10,473;11,046;7,576;8,124;6,498;7,182;7,448;8,250;7,584;8,267;;;;;;;239,15;252,03;172,92;185,22;148,27;163,68;169,99;188,10;173,10;188,50;0,314;0,012;0,012;;;1680;1680;Malus;10980;51800
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.0 Flexifuel (95ch) S&S BVM6";SUPERETHANOL;BERLINE;999;INFERIEURE;5;69,900;;1114;0,06;MECANIQUE;6;8,870;10,145;6,612;7,847;6,035;7,363;7,505;8,962;7,052;8,399;;;;;;;145,35;166,21;108,30;128,48;98,82;120,55;122,96;146,78;115,51;137,55;0,393;0,036;0,010;;;1189;1307;"Neutre 0";;23090
B.M.W.;"SERIE 2";220;AUTRES;"220i Active Tourer";"ESS+ELEC HNR";"MONOSPACE COMPACT";1499;"MOYENNE INFERIEURE";8;115,000;10,500;1520;0,08;AUTOMATIQUE;7;8,491;8,807;5,666;6,334;5,015;5,640;5,736;6,713;5,866;6,584;;;;;;;193,36;200,61;128,93;144,21;114,08;128,38;130,54;152,84;133,50;149,90;0,181;0,009;0,015;;;1595;1595;Malus;11908;38638
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 MAXI Caddy/Life/Style 1.5 TSI (114ch) DSG7";ESSENCE;COMBISPACE;1498;INFERIEURE;6;84,000;;1581;0,05;AUTOMATIQUE;7;8,475;9,175;6,316;7,389;5,323;6,331;6,394;7,983;6,325;7,512;;;;;;;192,40;208,23;143,29;167,61;120,72;143,55;145,06;181,12;143,50;170,40;0,212;0,028;0,029;;;1656;1656;Malus;1901;37713
B.M.W.;"SERIE 4";430;AUTRES;"430d xDrive Coupe";"GAZ+ELEC HNR";COUPE;2993;"MOYENNE SUPERIEURE";17;210,000;;1780;0,12;AUTOMATIQUE;8;7,700;8,474;5,222;5,784;4,449;5,172;4,902;5,942;5,200;6,009;;;;;;;201,80;222,15;136,79;151,59;116,49;135,52;128,37;155,73;136,20;157,50;0,123;;0,041;0,055;0,001;1855;1855;Malus;12470;62850
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.0 Flexifuel (95ch) S&S BVM6";SUPERETHANOL;BERLINE;999;INFERIEURE;5;69,900;;1114;0,06;MECANIQUE;6;8,870;10,145;6,612;7,847;6,035;7,363;7,505;8,962;7,052;8,399;;;;;;;145,35;166,21;108,30;128,48;98,82;120,55;122,96;146,78;115,51;137,55;0,393;0,036;0,010;;;1189;1307;"Neutre 0";;21340
B.M.W.;"SERIE 4";420;AUTRES;"420d Gran Coupe";"GAZ+ELEC HNR";BERLINE;1995;"MOYENNE SUPERIEURE";10;140,000;;1705;0,08;AUTOMATIQUE;8;6,167;6,649;4,631;5,300;4,252;4,905;4,814;5,617;4,784;5,470;;;;;;;161,59;174,22;121,30;138,84;111,35;128,47;126,10;147,15;125,30;143,30;0,112;;0,017;0,045;;1780;1780;Malus;11912;56383
